Scope           | Variable        | Typification     
setMethod       | unlist          | Free ( Exists in Global) 
setMethod       | callNextMethod  | Free (System)   
setMethod       | xtfrm           | Free (System)   
Global          | class           | Free ( Exists in pfit) 
mean.L          | x               | Formal Parameter 
mean.L          | ...             | Formal Parameter 
mean.L          | new             | Free ( Exists in Global) 
Global          | mean            | Free ( Exists in pfit) 
Global          | x2              | Local Variable  
Global          | mx              | Local Variable  
Global          | median          | Free (System)   
Global          | packageSlot     | Free (System)   
Global          | S               | Local Variable  
Global          | ss              | Local Variable  
Global          | ok.f            | Local Variable  
Global          | gl              | Free (System)   
Global          | labels          | Local Variable  
Global          | letters         | Free (System)   
Global          | bad.f           | Local Variable  
Global          | structure       | Free (System)   
Global          | rep             | Free (System)   
Global          | each            | Local Variable  
Global          | levels          | Local Variable  
Global          | validObject     | Free (System)   
Global          | id              | Local Variable  
Global          | xtfrm           | Free ( Exists in setMethod) 
setMethod       | .Data           | Free ( Exists in Global) 
setMethod       | i               | Formal Parameter 
setMethod       | j               | Formal Parameter 
setMethod       | drop            | Formal Parameter 
Global          | drop            | Funtion Call    
Global          | problNames      | Local Variable  
myTry           | expr            | Formal Parameter 
myTry           | ...             | Formal Parameter 
myTry           | tryCatch        | Free (System)   
Global          | expr            | Free ( Exists in myTry) 
error           | e               | Formal Parameter 
tstSlotname     | nm              | Formal Parameter 
tstSlotname     | r               | Local Variable  
tstSlotname     | myTry           | Funtion Call    
tstSlotname     | setClass        | Free ( Exists in Global) 
tstSlotname     | representation  | Local Variable  
tstSlotname     | structure       | Free ( Exists in Global) 
tstSlotname     | list            | Free ( Exists in x) 
tstSlotname     | .Names          | Local Variable  
tstSlotname     | is              | Free ( Exists in Global) 
tstSlotname     | ch              | Local Variable  
tstSlotname     | LETTERS         | Free (System)   
tstSlotname     | x               | Local Variable  
tstSlotname     | do.call         | Free (System)   
tstSlotname     | new             | Free ( Exists in Global) 
tstSlotname     | c               | Funtion Call    
tstSlotname     | y               | Local Variable  
tstSlotname     | capture.output  | Free (System)   
tstSlotname     | show            | Free ( Exists in Global) 
tstSlotname     | slot            | Free (System)   
tstSlotname     | stopifnot       | Free ( Exists in Global) 
tstSlotname     | validObject     | Free ( Exists in Global) 
tstSlotname     | identical       | Free ( Exists in Global) 
Global          | R               | Local Variable  
Global          | tstSlotname     | Funtion Call    
Global          | simplify        | Local Variable  
Global          | is.character    | Free (System)   
Global          | sapply          | Free ( Exists in e2) 
Global          | names           | Free (System)   
Global          | isTRUE          | Free (System)   
setMethod       | size            | Formal Parameter 
setMethod       | replace         | Formal Parameter 
setMethod       | prob            | Formal Parameter 
Global          | sample          | Free (System)   
Global          | set.seed        | Free (System)   
Global          | is.function     | Free (System)   
